x,y,v
-4.937168,0.813924,3.000
-4.984368,0.830473,3.000
-5.031564,0.847032,3.000
-5.078759,0.863596,3.000
-5.125953,0.880160,3.000
-5.173149,0.896720,3.000
-5.220348,0.913270,3.000
-5.267552,0.929807,3.000
-5.314762,0.946325,3.000
-5.361981,0.962820,3.000
-5.409209,0.979286,3.000
-5.456449,0.995720,3.000
-5.503702,1.012116,3.000
-5.550969,1.028470,3.000
-5.598253,1.044778,3.000
-5.645554,1.061035,3.000
-5.692874,1.077237,3.000
-5.740214,1.093379,3.000
-5.787576,1.109456,3.000
-5.834962,1.125463,3.000
-5.882373,1.141397,3.000
-5.929810,1.157252,3.000
-5.977275,1.173024,3.000
-6.024769,1.188709,3.000
-6.072293,1.204301,3.000
-6.119849,1.219796,3.000
-6.167438,1.235189,3.000
-6.215062,1.250476,3.000
-6.262721,1.265652,3.000
-6.310416,1.280711,3.000
-6.358150,1.295651,3.000
-6.405923,1.310464,3.000
-6.453736,1.325147,3.000
-6.501590,1.339693,3.000
-6.549487,1.354100,3.000
-6.597428,1.368360,3.000
-6.645413,1.382471,3.000
-6.693444,1.396426,3.000
-6.741521,1.410220,3.000
-6.789645,1.423849,3.000
-6.837817,1.437307,2.997
-6.886038,1.450589,2.987
-6.934308,1.463691,2.978
-6.982628,1.476606,2.968
-7.030999,1.489330,2.959
-7.079422,1.501857,2.949
-7.127897,1.514181,2.940
-7.176423,1.526298,2.930
-7.225003,1.538202,2.920
-7.273636,1.549887,2.911
-7.322321,1.561348,2.901
-7.371061,1.572579,2.891
-7.419854,1.583575,2.882
-7.468701,1.594331,2.872
-7.517601,1.604839,2.862
-7.566555,1.615095,2.852
-7.615562,1.625094,2.842
-7.664622,1.634829,2.832
-7.713735,1.644296,2.822
-7.762898,1.653495,2.812
-7.812111,1.662424,2.802
-7.861373,1.671083,2.793
-7.910681,1.679472,2.785
-7.960035,1.687589,2.779
-8.009432,1.695433,2.773
-8.058873,1.703005,2.768
-8.108354,1.710304,2.764
-8.157875,1.717328,2.760
-8.207434,1.724078,2.756
-8.257030,1.730552,2.753
-8.306661,1.736750,2.750
-8.356326,1.742671,2.747
-8.406024,1.748314,2.745
-8.455752,1.753679,2.742
-8.505509,1.758765,2.739
-8.555294,1.763571,2.736
-8.605106,1.768097,2.733
-8.654942,1.772341,2.730
-8.704802,1.776304,2.728
-8.754683,1.779983,2.725
-8.804584,1.783380,2.722
-8.854504,1.786492,2.718
-8.904441,1.789319,2.715
-8.954393,1.791860,2.712
-9.004359,1.794115,2.709
-9.054337,1.796083,2.706
-9.104325,1.797763,2.702
-9.154323,1.799154,2.699
-9.204327,1.800257,2.696
-9.254337,1.801069,2.692
-9.304351,1.801590,2.689
-9.354367,1.801819,2.685
-9.404384,1.801756,2.682
-9.454399,1.801400,2.679
-9.504412,1.800750,2.676
-9.554420,1.799805,2.673
-9.604421,1.798564,2.671
-9.654414,1.797027,2.670
-9.704397,1.795192,2.670
-9.754368,1.793059,2.671
-9.804326,1.790626,2.673
-9.854268,1.787894,2.678
-9.904192,1.784859,2.684
-9.954098,1.781523,2.693
-10.003982,1.777884,2.704
